Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Type of Breach,Location of Breached Information,Business Associate Present
133,0.0,0.0,0.0003109156783989746,0.0,1.0,0
134,33.0,0.0,0.00016963305604730995,0.0,3.0,0
135,8.0,0.0,2.284278453543487e-05,3.0,4.0,0
136,1.0,0.0,1.7855443245198257e-05,5.0,0.0,0
137,5.0,0.0,0.00026015393498689715,0.0,3.0,0
138,12.0,2.0,6.345217926509685e-05,1.0,5.0,1
139,23.0,0.0,2.789357800493658e-05,0.0,4.0,0
140,4.0,0.0,0.00012182818418898598,0.0,4.0,0
141,6.0,0.0,1.536811781800646e-05,1.0,2.0,0
142,24.0,0.0,6.345217926509686e-06,0.0,3.0,0
143,36.0,0.0,4.857898844535816e-05,0.0,15.0,0
144,13.0,0.0,8.351575834872049e-05,0.0,3.0,0
145,10.0,2.0,0.0003077430694357198,0.0,0.0,1
146,19.0,0.0,6.345217926509686e-06,0.0,2.0,0
147,20.0,2.0,5.786838748976834e-06,0.0,2.0,1
148,20.0,2.0,3.9721064219950634e-05,0.0,8.0,1
149,20.0,0.0,8.883305097113561e-06,1.0,2.0,0
150,5.0,2.0,0.00028099163065755495,2.0,1.0,1
151,20.0,0.0,4.530485599527916e-06,1.0,8.0,0
152,29.0,0.0,1.573614045774402e-05,0.0,16.0,0
153,7.0,0.0,2.8413885874910375e-05,0.0,3.0,0
154,16.0,0.0,1.092646526944968e-05,0.0,0.0,0
155,34.0,0.0,8.88330509711356e-08,0.0,0.0,0
156,37.0,0.0,0.00023759034004022867,1.0,8.0,0
157,35.0,0.0,1.903565377952906e-05,0.0,7.0,0
158,4.0,0.0,0.00041243916522312957,0.0,0.0,0
159,32.0,0.0,8.883305097113561e-06,0.0,17.0,0
160,27.0,2.0,9.771635606824916e-06,2.0,0.0,1
161,20.0,0.0,0.00010786870475066466,0.0,4.0,0
162,2.0,2.0,1.903565377952906e-05,0.0,2.0,1
163,35.0,0.0,8.87061466126054e-06,0.0,3.0,0
164,4.0,2.0,1.2360484520840868e-05,0.0,2.0,1
165,4.0,2.0,1.2360484520840868e-05,0.0,2.0,1
166,20.0,0.0,7.994974587402204e-05,0.0,1.0,0
167,13.0,0.0,5.9264335433600465e-06,5.0,0.0,0
168,38.0,0.0,0.00023731115045146225,3.0,4.0,0
169,4.0,0.0,5.431506545092291e-06,0.0,4.0,0
170,10.0,2.0,0.00013324957645670341,5.0,0.0,1
171,0.0,0.0,5.329983058268136e-05,0.0,18.0,0
172,28.0,0.0,2.1573740950132933e-05,0.0,0.0,0
173,20.0,0.0,9.89853996535511e-07,0.0,3.0,0
174,11.0,1.0,2.4365636837797194e-06,2.0,5.0,0
175,0.0,0.0,1.0786870475066467e-06,0.0,3.0,0
176,14.0,2.0,1.0126967810709458e-05,2.0,14.0,1
177,23.0,0.0,0.00011412508962620321,3.0,1.0,0
178,39.0,0.0,6.345217926509686e-06,0.0,2.0,0
179,30.0,0.0,2.5380871706038743e-05,0.0,5.0,0
180,6.0,1.0,0.012978622960805588,0.0,5.0,0
181,4.0,0.0,2.7411341442521842e-06,1.0,0.0,0
182,,1.0,0.006021611812257692,9.0,1.0,1
183,24.0,1.0,2.341385414882074e-05,9.0,1.0,0
184,40.0,0.0,7.6650232552237e-06,0.0,4.0,0
185,17.0,2.0,0.0014530549051707182,9.0,2.0,1
186,24.0,0.0,0.00014594001230972277,0.0,3.0,0
187,31.0,0.0,1.332495764567034e-05,0.0,4.0,0
188,35.0,0.0,4.378200369291683e-06,9.0,0.0,0
189,20.0,0.0,4.44165254855678e-07,0.0,3.0,0
190,9.0,0.0,4.060939472966199e-05,0.0,3.0,0
191,1.0,0.0,1.1421392267717435e-05,0.0,3.0,0
192,18.0,0.0,1.2690435853019372e-05,0.0,0.0,0
193,,1.0,0.005044448251575201,0.0,1.0,0
194,20.0,2.0,1.57869022011561e-05,0.0,1.0,1
195,4.0,0.0,3.43910811616825e-06,9.0,0.0,0
196,38.0,0.0,1.840113198687809e-05,10.0,0.0,0
197,20.0,0.0,5.329983058268136e-07,0.0,4.0,0
198,5.0,0.0,1.434019251391189e-06,0.0,4.0,0
199,6.0,0.0,9.771635606824917e-05,5.0,0.0,0
200,9.0,2.0,0.00011389666178084887,9.0,0.0,1
201,0.0,0.0,3.8071307559058118e-06,0.0,4.0,0
202,11.0,0.0,6.345217926509686e-06,3.0,19.0,0
203,,0.0,6.345217926509686e-06,0.0,7.0,0
204,5.0,2.0,7.423904974016332e-06,9.0,1.0,1
205,13.0,0.0,7.106644077690848e-07,0.0,4.0,0
206,22.0,0.0,3.538093515821801e-05,0.0,3.0,0
207,33.0,0.0,6.345217926509686e-06,5.0,0.0,0
208,4.0,0.0,9.51782688976453e-06,0.0,2.0,0
209,35.0,2.0,3.2614420142259786e-06,0.0,3.0,1
210,35.0,2.0,1.0786870475066467e-06,9.0,5.0,1
211,5.0,0.0,3.0812378251131035e-05,0.0,9.0,0
212,29.0,0.0,3.374386893317851e-05,0.0,3.0,0
213,11.0,2.0,3.8071307559058118e-06,0.0,0.0,1
214,28.0,0.0,0.00030583950405776685,4.0,2.0,0
215,5.0,1.0,3.908654242729966e-06,1.0,2.0,0
216,25.0,0.0,1.903565377952906e-05,0.0,2.0,0
217,18.0,0.0,0.001973362775144512,0.0,1.0,0
218,33.0,0.0,1.2690435853019372e-08,0.0,7.0,0
219,41.0,0.0,0.002930221638462173,3.0,1.0,0
220,18.0,0.0,2.1573740950132933e-05,0.0,3.0,0
221,35.0,0.0,1.7106707529870113e-05,3.0,20.0,0
222,7.0,0.0,0.00014571158446436842,0.0,3.0,0
223,23.0,3.0,9.51782688976453e-06,0.0,4.0,0
224,27.0,1.0,6.467046110698672e-05,0.0,4.0,0
225,9.0,0.0,1.979707993071022e-06,0.0,7.0,0
226,0.0,2.0,0.00019923984289240413,1.0,2.0,1
227,1.0,2.0,5.45688741679833e-05,0.0,5.0,1
228,23.0,0.0,0.00014605422623239995,0.0,2.0,0
229,0.0,0.0,5.058407731013522e-05,0.0,3.0,0
230,0.0,0.0,9.823666393822296e-05,0.0,2.0,0
231,6.0,0.0,0.0,0.0,4.0,0
232,28.0,2.0,0.00023313599705581889,3.0,1.0,1
233,30.0,0.0,5.837600492388911e-07,0.0,0.0,0
234,42.0,0.0,0.0004632009086352071,0.0,3.0,0
235,23.0,0.0,3.2995133217850364e-05,0.0,0.0,0
236,1.0,0.0,3.8071307559058118e-06,3.0,4.0,0
237,43.0,2.0,0.021567395732206424,0.0,21.0,1
238,4.0,0.0,2.22082627427839e-05,9.0,5.0,0
239,0.0,0.0,0.00011956928660714852,4.0,2.0,0
240,18.0,2.0,2.7918958876642617e-05,0.0,2.0,1
241,44.0,2.0,4.003832511627612e-05,9.0,1.0,1
242,15.0,0.0,2.2728570612757694e-05,1.0,2.0,0
243,,0.0,2.6916414444254087e-05,1.0,4.0,0
244,9.0,0.0,2.889612243732511e-05,1.0,2.0,0
245,15.0,2.0,5.076174341207749e-05,9.0,0.0,1
246,18.0,1.0,8.713253256683101e-05,11.0,5.0,0
247,10.0,0.0,5.609172647034562e-06,9.0,4.0,0
248,28.0,0.0,0.00010590168719344665,0.0,3.0,0
249,38.0,0.0,1.2690435853019373e-06,0.0,22.0,0
250,11.0,2.0,3.3629655010501337e-06,9.0,0.0,1
251,0.0,0.0,1.954327121364983e-06,11.0,16.0,0
252,25.0,0.0,0.0002569051834085242,0.0,23.0,0
253,20.0,0.0,2.1573740950132934e-06,0.0,4.0,0
254,4.0,0.0,0.006520726654356944,0.0,4.0,0
255,44.0,0.0,1.2309722777428791e-05,9.0,0.0,0
256,4.0,0.0,2.1193027874542352e-06,0.0,3.0,0
257,2.0,2.0,1.5228523023623247e-05,0.0,3.0,1
258,15.0,0.0,1.7132088401576153e-06,0.0,2.0,0
259,15.0,0.0,0.00012055914060368403,0.0,2.0,0
260,24.0,2.0,0.0011802105343308015,0.0,5.0,1
261,38.0,0.0,0.0010596513937271175,0.0,1.0,0
262,1.0,1.0,5.520339596063427e-06,9.0,5.0,0
263,38.0,0.0,0.0016807213243738856,0.0,17.0,0
264,27.0,0.0,2.8134696286143948e-05,5.0,0.0,0
265,29.0,0.0,9.07366163490885e-06,1.0,0.0,0
266,20.0,2.0,0.024105482902810296,11.0,5.0,1
267,15.0,0.0,8.375687662992786e-07,0.0,0.0,0
268,13.0,2.0,2.2208262742783903e-06,9.0,5.0,1
269,21.0,0.0,0.0001840113198687809,0.0,4.0,0
270,8.0,0.0,6.979739719160655e-05,3.0,1.0,0
271,13.0,0.0,7.233548436221042e-06,3.0,13.0,0
272,13.0,0.0,4.378200369291683e-06,3.0,13.0,0
273,13.0,0.0,2.360421068661603e-06,3.0,13.0,0
274,15.0,1.0,0.00011285604604090128,3.0,13.0,0
275,13.0,0.0,4.060939472966199e-07,3.0,13.0,0
276,33.0,0.0,0.0,5.0,5.0,0
277,41.0,0.0,6.928977975748577e-05,0.0,3.0,0
278,0.0,0.0,1.2690435853019372e-05,0.0,3.0,0
279,35.0,0.0,0.0002728570612757695,0.0,3.0,0
280,10.0,0.0,7.994974587402204e-07,0.0,3.0,0
281,17.0,1.0,0.0003028064898888952,0.0,4.0,0
282,1.0,1.0,4.441652548556781e-06,9.0,5.0,0
283,5.0,0.0,1.1269107037481202e-05,0.0,0.0,0
284,,0.0,0.0004046979993527878,0.0,4.0,0
285,18.0,0.0,9.51782688976453e-05,0.0,11.0,0
286,15.0,0.0,1.954327121364983e-06,12.0,0.0,0
287,4.0,0.0,1.5228523023623245e-06,0.0,3.0,0
288,20.0,2.0,6.345217926509686e-07,0.0,0.0,1
289,0.0,0.0,6.738621437953286e-06,5.0,5.0,0
290,25.0,2.0,0.00016385890773418612,9.0,0.0,1
291,9.0,2.0,0.0001381607751318219,13.0,1.0,1
292,17.0,0.0,6.987353980672466e-05,0.0,0.0,0
293,27.0,0.0,0.005069829123281239,0.0,4.0,0
294,28.0,0.0,1.8857987677586787e-05,4.0,2.0,0
295,23.0,1.0,2.7918958876642617e-05,11.0,0.0,0
296,36.0,2.0,0.00020939219157481962,0.0,2.0,1
297,8.0,0.0,9.682802555853781e-06,11.0,9.0,0
298,15.0,0.0,1.903565377952906e-05,6.0,0.0,0
299,27.0,0.0,9.89853996535511e-06,0.0,2.0,0
300,4.0,2.0,8.781781610289406e-06,1.0,0.0,1
301,4.0,0.0,0.000192602744941275,0.0,4.0,0
302,44.0,0.0,5.710696133858717e-06,9.0,0.0,0
303,23.0,0.0,7.677713691076721e-06,0.0,2.0,0
304,18.0,1.0,3.76017614324964e-05,9.0,5.0,0
305,6.0,0.0,2.6015393498689714e-06,0.0,3.0,0
306,6.0,0.0,3.934035114436005e-06,0.0,3.0,0
307,1.0,0.0,1.0000063452179265e-05,11.0,0.0,0
308,33.0,2.0,0.0009840417769148282,0.0,3.0,1
309,45.0,0.0,1.903565377952906e-05,0.0,24.0,0
310,4.0,1.0,2.461944555485758e-06,9.0,0.0,0
311,30.0,2.0,3.920075634997684e-05,0.0,5.0,1
312,4.0,0.0,0.0001229703234157577,0.0,19.0,0
313,18.0,0.0,1.3477242875906573e-05,9.0,21.0,0
314,25.0,0.0,4.822365624147361e-06,9.0,0.0,0
315,20.0,0.0,2.6903724008401067e-06,0.0,3.0,0
316,9.0,,5.710696133858717e-05,3.0,1.0,1
317,17.0,0.0,2.9188002461944557e-05,0.0,4.0,0
318,26.0,0.0,8.88330509711356e-05,0.0,0.0,0
319,30.0,0.0,,9.0,16.0,0
320,10.0,0.0,1.9302152932442466e-05,3.0,1.0,0
321,13.0,2.0,0.000315103522230471,9.0,1.0,1
322,6.0,,1.114220267895101e-05,9.0,0.0,1
323,0.0,2.0,5.16881452293479e-05,9.0,0.0,1
324,7.0,0.0,2.5380871706038745e-06,5.0,0.0,0
325,0.0,0.0,1.738589711863654e-05,0.0,3.0,0
326,13.0,1.0,1.2690435853019372e-08,0.0,0.0,0
327,28.0,0.0,3.939111288777213e-05,0.0,3.0,0
328,36.0,0.0,8.883305097113561e-06,0.0,4.0,0
329,4.0,0.0,1.2690435853019372e-05,9.0,0.0,0
330,10.0,0.0,1.7512801477166733e-06,0.0,8.0,0
331,35.0,,7.614261511811623e-08,3.0,1.0,1
332,43.0,2.0,0.00010526716540079569,0.0,2.0,1
333,23.0,1.0,4.378200369291683e-05,9.0,0.0,0
334,26.0,0.0,0.000798545676051244,0.0,2.0,0
335,17.0,2.0,6.78684509419476e-05,0.0,5.0,1
336,30.0,,,,,0
337,0.0,2.0,0.00012493734097297572,0.0,3.0,1
338,13.0,0.0,3.9974872937011025e-06,9.0,3.0,0
339,43.0,2.0,0.0003998502528569344,0.0,2.0,1
340,28.0,0.0,1.1827486215014055e-05,0.0,25.0,0
341,43.0,2.0,3.172608963254843e-05,12.0,26.0,1
342,13.0,0.0,1.903565377952906e-05,0.0,19.0,0
343,4.0,2.0,0.000243034537021174,9.0,5.0,1
344,39.0,0.0,3.3198180191498674e-05,3.0,1.0,0
345,4.0,0.0,1.6497566608925182e-05,0.0,0.0,0
346,35.0,0.0,1.97843894948572e-05,0.0,2.0,0
347,0.0,1.0,1.517776128021117e-05,0.0,3.0,0
348,22.0,2.0,3.172608963254843e-05,3.0,4.0,1
349,17.0,0.0,1.903565377952906e-05,0.0,0.0,0
350,0.0,0.0,2.590117957601254e-05,0.0,0.0,0
351,26.0,0.0,4.606628214646032e-06,0.0,3.0,0
352,0.0,0.0,1.0152348682415498e-05,13.0,1.0,0
353,40.0,0.0,1.6459495301366127e-05,0.0,0.0,0
354,23.0,0.0,2.369304373758717e-05,0.0,7.0,0
355,7.0,2.0,4.44165254855678e-05,1.0,2.0,1
356,5.0,2.0,8.88330509711356e-08,12.0,17.0,1
357,13.0,0.0,2.284278453543487e-07,1.0,0.0,0
358,0.0,0.0,9.632040812441704e-06,0.0,3.0,0
359,20.0,0.0,2.664991529134068e-05,0.0,0.0,0
360,29.0,0.0,0.0001792270255521926,0.0,3.0,0
361,29.0,0.0,0.00011417585136961529,0.0,3.0,0
362,6.0,0.0,2.931490682047475e-06,0.0,0.0,0
363,5.0,2.0,1.0025444323885304e-06,12.0,0.0,1
364,,1.0,2.1687954872810105e-05,0.0,27.0,0
365,9.0,0.0,2.5380871706038744e-07,0.0,4.0,0
366,24.0,2.0,1.435288294976491e-05,1.0,2.0,1
367,35.0,0.0,3.510174556945158e-05,0.0,3.0,0
368,4.0,2.0,2.5380871706038745e-06,12.0,0.0,1
369,10.0,0.0,2.1573740950132933e-05,0.0,2.0,0
370,18.0,0.0,0.013388270230141055,1.0,5.0,0
371,29.0,0.0,2.664991529134068e-05,0.0,28.0,0
372,24.0,2.0,4.4340382870449685e-05,0.0,5.0,1
373,10.0,0.0,1.2563531494489179e-06,0.0,3.0,0
374,18.0,0.0,0.00015588931401848996,9.0,16.0,0
375,5.0,0.0,3.3629655010501336e-05,0.0,5.0,0
376,5.0,0.0,0.0,0.0,5.0,0
377,31.0,,,,,0
378,10.0,0.0,0.00018083871090552605,0.0,4.0,0
379,39.0,0.0,1.2335103649134829e-05,1.0,5.0,0
380,1.0,2.0,8.323656875995406e-05,0.0,5.0,1
381,0.0,2.0,7.832537008483556e-05,4.0,4.0,1
382,35.0,0.0,3.2614420142259786e-06,0.0,1.0,0
383,18.0,0.0,2.1573740950132933e-05,0.0,0.0,0
384,20.0,0.0,5.418816109239272e-06,0.0,3.0,0
385,24.0,2.0,7.47466671742841e-06,0.0,4.0,1
386,9.0,2.0,7.6142615118116235e-06,0.0,0.0,1
387,8.0,0.0,6.47212228503988e-07,11.0,0.0,0
388,18.0,0.0,3.0457046047246494e-05,0.0,1.0,0
389,0.0,0.0,8.50259202152298e-07,0.0,2.0,0
390,5.0,0.0,0.0006916287539895558,5.0,1.0,0
391,11.0,0.0,5.710696133858717e-05,0.0,11.0,0
392,4.0,,2.86930754636768e-05,0.0,2.0,0
393,7.0,2.0,0.062176790461868414,1.0,5.0,1
394,44.0,0.0,0.0001530847276949727,4.0,3.0,0
395,19.0,1.0,1.3159981979581088e-05,0.0,0.0,0
396,32.0,2.0,9.866813875722561e-05,0.0,5.0,1
397,25.0,0.0,0.011966243440630969,0.0,4.0,0
398,46.0,0.0,1.9035653779529059e-06,0.0,3.0,0
399,0.0,0.0,2.4924016015330047e-05,9.0,29.0,0
400,2.0,,,,,0
401,28.0,0.0,4.7969847524413225e-06,1.0,8.0,0
402,6.0,1.0,1.6116853533334603e-05,9.0,0.0,0
403,18.0,0.0,3.451798552021269e-06,1.0,5.0,0
404,35.0,0.0,0.0001295058978800627,0.0,5.0,0
405,4.0,,,,,0
406,5.0,0.0,3.0457046047246494e-05,2.0,0.0,0
407,20.0,2.0,8.53558715474083e-05,9.0,1.0,1
408,13.0,2.0,1.903565377952906e-05,5.0,0.0,1
409,31.0,0.0,1.4086383796851503e-06,0.0,0.0,0
410,26.0,0.0,0.00020939219157481962,0.0,3.0,0
411,23.0,0.0,5.321099753171023e-05,0.0,5.0,0
412,4.0,1.0,0.00013427750176079798,2.0,0.0,0
413,6.0,0.0,2.1383384412337643e-05,0.0,30.0,0
414,23.0,1.0,8.986097627523017e-05,0.0,3.0,0
415,0.0,0.0,4.6954612656171674e-06,0.0,3.0,0
416,10.0,0.0,3.15738044023122e-05,0.0,3.0,0
417,18.0,0.0,1.4847809948032665e-05,0.0,19.0,0
418,8.0,2.0,0.0006281765747244589,14.0,20.0,1
419,5.0,0.0,1.0152348682415498e-05,0.0,3.0,0
420,42.0,2.0,2.7918958876642617e-05,9.0,5.0,1
421,4.0,2.0,1.5228523023623247e-05,2.0,0.0,1
422,41.0,0.0,3.43910811616825e-06,0.0,0.0,0
423,41.0,,,,,0
424,32.0,0.0,9.209449298536159e-05,0.0,3.0,0
425,4.0,1.0,0.00014144759801775392,2.0,0.0,0
426,38.0,1.0,4.365509933438664e-06,1.0,5.0,0
427,7.0,2.0,1.1979771445250288e-05,14.0,0.0,1
428,20.0,0.0,6.218313567979492e-07,0.0,3.0,0
429,35.0,0.0,1.1713272292336881e-05,12.0,0.0,0
430,23.0,0.0,3.2995133217850364e-05,0.0,4.0,0
431,30.0,0.0,3.42641768031523e-05,15.0,9.0,0
432,18.0,0.0,9.124423378320928e-06,0.0,8.0,0
433,29.0,1.0,7.840151269995368e-05,2.0,0.0,0
434,8.0,0.0,1.903565377952906e-05,0.0,3.0,0
435,13.0,2.0,0.00017132088401576153,0.0,3.0,1
436,4.0,0.0,1.0989917448714777e-05,2.0,0.0,0
437,43.0,2.0,1.5228523023623247e-05,2.0,5.0,1
438,43.0,0.0,9.987373016326246e-06,0.0,0.0,0
439,22.0,0.0,2.5127062988978357e-06,0.0,3.0,0
440,35.0,0.0,2.0304697364830995e-06,3.0,5.0,0
441,4.0,0.0,,9.0,1.0,0
442,3.0,0.0,1.3312267209817321e-05,9.0,0.0,0
443,4.0,1.0,2.5761584781629327e-06,0.0,5.0,0
444,45.0,0.0,2.015241213459476e-05,1.0,8.0,0
445,36.0,2.0,2.284278453543487e-05,12.0,3.0,1
446,5.0,0.0,2.893419374488417e-06,0.0,3.0,0
447,19.0,2.0,8.248783304462591e-05,0.0,3.0,1
448,11.0,2.0,1.6751375325985572e-06,9.0,5.0,1
449,17.0,2.0,9.144728075685759e-05,0.0,3.0,1
450,11.0,0.0,0.00012665054981313332,0.0,1.0,0
451,0.0,2.0,2.6129607421366887e-05,0.0,5.0,1
