Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Type of Breach,Location of Breached Information,Business Associate Present
127,37.0,1,0.004909169963911475,0,0,1
128,6.0,2,0.01199199965215879,0,0,1
129,38.0,1,9.861298317318144e-05,1,1,0
130,19.0,0,0.00046028088177746857,0,0,1
131,39.0,0,2.252271837905996e-05,1,Paper/Films,1
132,30.0,1,6.287229879559981e-05,0,0,0
133,3.0,1,0.0004306274185834167,0,0,0
134,36.0,0,2.8522979259967826e-05,0,0,0
135,25.0,1,0.00637636418974738,0,0,0
136,15.0,2,0.00024496717248576023,3,Paper/Films,1
137,38.0,0,0.042058959085177615,0,1,1
138,6.0,0,0.019522587938606027,0,1,0
139,22.0,1,0.0006522022696638985,0,0,0
140,23.0,0,7.304665420235663e-05,1,1,1
141,14.0,1,0.011879646941171355,0,0,0
142,29.0,0,3.1305708943867123e-06,1,1,0
143,28.0,1,0.009942519239966955,0,0,0
144,32.0,1,0.0005478499065176747,0,14,0
145,28.0,0,0.012983521022653158,0,1,0
146,25.0,2,0.11219357363363625,0,1,1
147,13.0,1,8.278620809600418e-05,0,1,0
148,7.0,1,0.0003751467455106744,0,1,0
149,40.0,1,0.0034272794469324755,0,0,1
150,25.0,2,0.0,0,0,1
151,7.0,1,0.0003914083221009609,0,0,0
152,17.0,1,6.939432149223879e-05,0,1,0
153,25.0,2,4.2175746771598764e-05,0,1,1
154,10.0,0,0.0003471455280664377,1,Paper/Films,0
155,23.0,1,8.696030262185312e-08,4,6,0
156,9.0,1,0.0001550502195747641,3,15,0
157,8.0,1,0.0002608809078655594,0,0,1
158,28.0,1,4.704552371842254e-05,0,0,1
159,1.0,1,0.003174051045697639,0,0,1
160,6.0,1,0.005956780729596939,0,1,0
161,41.0,1,9.90477846862907e-05,0,0,0
162,25.0,2,0.08729109961302665,0,0,1
163,25.0,2,4.904561067872516e-05,1,6,1
164,25.0,1,4.165398495586765e-05,1,16,1
165,27.0,1,1.695725901126136e-05,1,Paper/Films,1
166,7.0,1,0.0009293447541197443,1,7,0
167,23.0,1,0.0017794686725509804,0,1,0
168,3.0,1,5.7393799730423065e-06,0,0,0
169,1.0,1,0.00023479281707900344,1,6,0
170,17.0,1,0.02600173920605244,0,0,1
171,4.0,1,0.02265785468933432,0,0,1
172,21.0,0,2.3827122918387756e-05,1,8,0
173,32.0,1,1.478325144571503e-05,1,Paper/Films,0
174,20.0,1,9.391712683160138e-05,2,17,0
175,25.0,1,1.608765598504283e-05,0,0,0
176,1.0,1,0.00015261533110135224,1,1,0
177,3.0,0,0.005221531370929171,0,1,1
178,35.0,2,0.07635549371711814,0,0,1
179,27.0,1,3.1218748641245274e-05,1,6,1
180,42.0,2,0.000265837645115005,1,Paper/Films,1
181,35.0,2,1.2174442367059437e-06,1,0,1
182,30.0,1,8.36558111222227e-05,0,1,0
183,10.0,2,0.0024486282012261404,1,Paper/Films,1
184,32.0,1,5.452410974390191e-05,0,1,0
185,1.0,1,0.0001239184312361407,1,14,0
186,40.0,1,0.018780990477846864,0,0,0
187,6.0,1,0.00045819383451454413,0,0,0
188,3.0,2,0.0006541153963215792,1,Paper/Films,1
189,8.0,1,0.0006522022696638985,0,1,0
190,37.0,1,0.006739945215009349,0,0,1
191,43.0,1,0.0,0,0,0
192,1.0,1,0.00022400973955389366,0,1,0
193,6.0,2,0.0009404756728553415,0,0,1
194,15.0,1,2.087047262924475e-06,2,Paper/Films,0
195,27.0,1,2.5218487760337408e-06,3,6,0
196,9.0,1,0.02566346362885343,0,0,0
197,30.0,1,0.0001304404539327797,2,10,0
198,18.0,1,0.00011878777338145137,0,1,0
199,29.0,1,0.008026001130483934,0,1,0
200,32.0,1,0.0031283099265185443,0,13,0
201,37.0,1,0.000820035653724075,1,1,0
202,0.0,1,0.0002608809078655594,1,7,0
203,30.0,1,0.00012009217792077916,0,11,0
204,25.0,1,0.00507178572981434,1,0,0
205,30.0,0,0.0008439497369450846,1,Paper/Films,0
206,22.0,1,0.0008921257445975912,0,13,0
207,13.0,1,0.0013649289099526066,0,0,0
208,15.0,1,0.00021261793991043089,1,1,0
209,34.0,1,0.0001304404539327797,4,Paper/Films,0
210,20.0,1,0.0023479281707900345,0,1,0
211,3.0,1,0.01531257880777425,0,0,0
212,4.0,1,0.0002882734031914431,1,1,0
213,3.0,1,8.06991608330797e-05,0,0,0
214,6.0,1,0.003424583677551198,0,0,1
215,28.0,1,0.008652550110874386,3,7,0
216,25.0,1,0.00030357841645288925,0,0,0
217,22.0,1,0.0020435671116135483,0,0,1
218,22.0,1,0.002030175225009783,0,0,1
219,29.0,1,8.956911170050872e-06,0,0,1
220,38.0,1,0.0013395365015870255,0,0,1
221,38.0,0,0.003174051045697639,0,1,0
222,32.0,1,0.0037835558067742074,0,0,1
223,6.0,1,0.001677290316970303,0,0,1
224,25.0,1,0.00024957606852471845,2,10,0
225,29.0,2,0.010138527762076611,0,0,1
226,6.0,0,0.006913344058437324,0,0,0
227,16.0,1,0.0006522022696638985,0,0,0
228,38.0,1,0.00039132136179833904,0,0,0
229,38.0,1,0.0017589460411322232,0,0,0
230,26.0,1,0.003036305926344624,0,1,0
231,13.0,2,0.07208609069959564,0,0,1
232,16.0,1,0.001768598634723249,0,0,0
233,42.0,1,0.00032957954693682334,4,18,0
234,1.0,1,1.8348623853211008e-05,1,1,0
235,36.0,1,0.0009685638506022001,0,1,0
236,23.0,1,0.004388451671811818,0,1,0
237,32.0,1,0.0013853645810687422,0,1,0
238,17.0,2,0.0012174442367059437,0,1,1
239,7.0,1,8.696030262185312e-08,0,1,0
240,15.0,1,0.001000043480151311,1,1,0
241,44.0,1,0.00011165702856645941,1,Paper/Films,0
242,25.0,1,0.00011843993217096395,0,1,1
243,8.0,1,0.00010435236314622375,0,0,1
244,25.0,1,0.02741953997999913,0,0,1
245,6.0,1,0.006690986564633245,0,0,0
246,4.0,1,0.008145658506891603,0,0,1
247,15.0,1,0.0003840166963781034,0,0,1
248,17.0,1,0.007470933518848645,0,0,1
249,32.0,1,0.0006522022696638985,0,0,0
250,6.0,1,0.0002547067263794078,0,1,1
251,6.0,1,8.174268446454193e-05,0,1,0
252,0.0,1,4.887169007348146e-05,1,1,0
253,1.0,1,7.913387538588634e-06,2,Paper/Films,0
254,38.0,1,4.782816644201922e-05,0,0,1
255,13.0,1,0.00010235227618592112,1,6,0
256,45.0,1,3.33927562067916e-05,0,0,0
257,17.0,1,0.0021305274142354017,0,0,0
258,1.0,1,0.0001304404539327797,1,7,0
259,38.0,1,0.0018363407104656725,0,0,1
260,22.0,2,0.00010243923648854298,0,1,1
261,16.0,1,3.3305795904169746e-05,2,Paper/Films,0
262,30.0,3,0.0039333884081916605,0,1,0
263,38.0,1,0.00821774859776512,0,0,1
264,17.0,1,0.03070707422061829,0,1,0
265,29.0,1,5.5480673072742293e-05,0,1,0
266,1.0,0,0.00038897343362754905,0,1,0
267,0.0,1,0.00014948476020696551,1,0,0
268,41.0,1,0.0003478412104874125,0,0,1
269,23.0,1,7.478586025479369e-05,1,1,0
270,45.0,1,0.006467846428105569,0,1,0
271,20.0,1,9.687377712074438e-05,1,7,0
272,32.0,1,8.956911170050872e-06,0,0,1
273,13.0,1,2.165311535284143e-05,1,1,0
274,11.0,1,0.0010553502326188095,1,Paper/Films,0
275,22.0,2,4.487151615287621e-05,0,1,1
276,22.0,1,0.0005007174224966303,0,1,0
277,42.0,1,0.016759250402191398,0,6,1
278,13.0,1,0.010293838862559242,0,0,1
279,1.0,1,0.00015087612504891516,0,1,0
280,32.0,1,0.0011408322100960912,0,1,0
281,32.0,1,0.0005795034566720292,0,0,1
282,6.0,1,0.0001762685334144963,0,0,0
283,6.0,1,5.478499065176747e-06,1,1,0
284,11.0,1,0.00020444367146397669,0,0,0
285,25.0,0,0.0004812383147093352,0,0,0
286,13.0,2,0.12813600591330057,1,1,1
287,25.0,1,0.00016296360711335275,0,1,0
288,32.0,1,0.001351189182138354,0,1,0
289,0.0,1,0.0022923605374146703,0,1,0
290,1.0,1,0.019784251489195184,0,1,0
291,1.0,1,0.00025340232184008,0,0,1
292,32.0,1,0.005681899213009261,0,0,1
293,6.0,1,0.00020435671116135484,0,7,0
294,27.0,1,0.001119613896256359,0,1,0
295,35.0,1,1.4609330840471325e-05,0,0,1
296,17.0,1,1.887038566894213e-05,1,7,0
297,8.0,1,0.0010749163007087266,0,0,0
298,3.0,1,0.00641340927866429,0,0,1
299,32.0,1,0.00030470890038697336,1,7,0
300,32.0,1,5.521979216487673e-05,2,Paper/Films,0
301,7.0,1,0.016456019826948998,0,1,0
302,30.0,1,0.0004434975433714509,0,0,0
303,22.0,1,1.5913735379799123e-05,0,0,1
304,9.0,1,0.0001304404539327797,0,11,0
305,6.0,1,0.0001905300230444802,0,1,0
306,45.0,1,0.0027001173964085394,0,1,0
307,30.0,1,0.00041097439019087786,0,1,0
